BUILDING ADDRESS,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),ENERGY STAR SCORE,GROSS BUILDING FLOOR AREA (ft²),PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
9419 S AIRPORT BLVD,41.6,Not Available,23203.0,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",28.0,544.3,1981.0
12411 MAGNOLIA BLVD,123.1,52,57858.0,Multifamily Housing,37.7,2302.5,1974.0
10520 NATIONAL BLVD,49.4,70,22237.0,Multifamily Housing,37.2,819.9,1987.0
12502 VAN NUYS BLVD,78.5,Not Available,52000.0,Office,22.8,697.2,1963.0
10700 W WILSHIRE BLVD,209.1,59,86308.0,Multifamily Housing,38.1,1976.4,2010.0
8430 CEDROS AVE,48.3,99,31110.0,Multifamily Housing,23.4,1788.6,1987.0
16944 S VERMONT AVE,18.2,Not Available,41810.0,Other,6.3,169.1,1974.0
3675 CLARINGTON AVE,42.5,Not Available,21660.0,Multifamily Housing,34.6,835.6,1980.0
8455 LINDLEY AVE,80.4,95,37453.0,Multifamily Housing,36.3,1894.1,1964.0
2161 W 25TH ST,62,85,33012.0,Multifamily Housing,32.0,94.3,1961.0
710 N EL CENTRO AVE,145.4,97,80000.0,Multifamily Housing,32.6,1162.5,2015.0
7120 CASE AVE,11.9,61,20273.0,Distribution Center,9.7,139.9,1970.0
4040 DEL REY AVE,0.3,Not Available,58684.0,Manufacturing/Industrial Plant,0.1,0.0,1980.0
6301 YUCCA ST,108.6,Not Available,35000.0,College/University,52.5,898.0,1928.0
11059 FRUITLAND DR,5.4,100,21288.0,Multifamily Housing,3.8,606.7,1986.0
11640 HART ST,9.1,68,24272.0,Non-Refrigerated Warehouse,6.2,5.2,1947.0
920 VENICE BLVD,83.3,30,30261.0,Multifamily Housing,49.0,904.4,1978.0
19851 W NORDHOFF PL,174.5,43,162766.0,Non-Refrigerated Warehouse,17.8,3198.7,2009.0
13043 FOOTHILL BLVD,10.7,Not Available,97313.0,Self-Storage Facility,1.6,264.4,1988.0
21025 LASSEN ST,79.7,67,33580.0,Multifamily Housing,40.0,2908.4,1977.0
1000 WILSHIRE BLVD,1354,80,490000.0,Office,41.7,3921.2,1987.0
2000 MIRAMAR ST,313.8,74,136412.0,Multifamily Housing,38.5,8845.2,1979.0
1409 VENICE BLVD,56.2,74,27700.0,Multifamily Housing,34.8,743.6,1990.0
11253 NEBRASKA AVE,48.8,98,37362.0,Multifamily Housing,23.2,1315.8,1990.0
1617 COSMO ST,127.7,3,42653.0,Multifamily Housing,48.2,1043.5,2006.0
1417 N BRONSON AVE,62.2,84,23520.0,Multifamily Housing,44.4,1.1,1928.0
21701 PARTHENIA ST,50.1,Not Available,30800.0,Multifamily Housing,27.5,963.5,1964.0
1827 VETERAN AVE,56.2,88,29170.0,Multifamily Housing,33.5,925.3,1966.0
21707 ROSCOE BLVD,44.5,65,20260.0,Multifamily Housing,36.5,1669.7,1964.0
8700 PERSHING DR,387.9,99.0,183174.0,Multifamily Housing,35.3,6646.3,2004.0
1625 STONER AVE,23.8,100,30095.0,Multifamily Housing,13.5,1226.8,1960.0
12525 WASHINGTON PL,56.5,83,21010.0,Multifamily Housing,48.1,917.9,1997.0
123 S FIGUEROA ST,1887.4,55,585026.0,Multifamily Housing,53.6,10175.0,1985.0
1221 W 3RD ST,701.4,100,294678.0,Multifamily Housing,40.9,13087.2,2006.0
15651 DICKENS ST,109.4,79,52871.0,Multifamily Housing,34.9,1830.5,1963.0
8700 PERSHING DR,203.1,89.0,93243.0,Multifamily Housing,36.3,3479.3,2004.0
9009 BURNET AVE,90.8,99,71306.0,Multifamily Housing,20.0,3102.9,2009.0
5031 ALONZO AVE,189.4,7,38000.0,K-12 School,81.5,1570.9,1961.0
11611 BLUCHER AVE,178.7,84,73300.0,Multifamily Housing,41.2,4595.3,1986.0
8700 TOPANGA CANYON BLVD,76.9,Not Available,29834.0,Multifamily Housing,39.7,2096.0,1971.0
11620 SHERMAN WAY,59.3,Not Available,194008.0,Self-Storage Facility,4.4,121.0,2001.0
3101 SAWTELLE BLVD,210.6,89.0,88040.0,Multifamily Housing,39.7,3812.1,2004.0
11444 W OLYMPIC BLVD,1137,81,237534.0,Office,84.9,4142.0,1984.0
1888 CENTURY PARK EAST,2950.9,73,516405.0,Office,99.4,3259.1,1969.0
8849 CEDROS AVE,38.9,94,21854.0,Multifamily Housing,31.7,1307.6,1964.0
10250 CONSTELLATION BLVD,2206.6,95,810474.0,Office,51.6,5539.1,2003.0
3616 CARDIFF AVE,52.4,61,24187.0,Multifamily Housing,37.2,779.5,1985.0
8500 PERSHING DR,122.1,91.0,54795.0,Multifamily Housing,37.4,1859.7,2004.0
7762 FOOTHILL BLVD,77.6,Not Available,19151.0,Multifamily Housing,73.0,2173.1,1987.0
8808 DARBY AVE,77.5,69,24516.0,Multifamily Housing,56.6,1585.9,1984.0
5312 CORTEEN PL,79.5,79,26764.0,Multifamily Housing,53.9,2479.8,1959.0
7709 LANKERSHIM BLVD,119.1,73,37826.0,Multifamily Housing,56.7,2452.1,1965.0
3165 SAWTELLE BLVD,167.1,93.0,88040.0,Multifamily Housing,30.4,1625.3,2004.0
2640 MENLO AVE,38.8,96,27809.0,Multifamily Housing,23.0,902.2,1901.0
6615 FRANKLIN AVE,124.6,95,65746.0,Multifamily Housing,34.0,235.6,1962.0
920 VENICE BLVD,83.5,31,30261.0,Multifamily Housing,49.1,938.1,1978.0
9541 COZYCROFT AVE,36.3,94,30000.0,Manufacturing/Industrial Plant,20.0,385.2,1973.0
18560 VINCENNES ST,57,51,20300.0,Multifamily Housing,46.4,1671.9,1968.0
3201 SAWTELLE BLVD,188.8,92.0,88040.0,Multifamily Housing,35.0,2408.5,2004.0
11444 W OLYMPIC BLVD,29.2,Not Available,204763.0,Parking,2.2,98.0,1984.0
6016 ROMAINE ST,38,96,28744.0,Multifamily Housing,23.1,914.1,1991.0
13115 TELFAIR AVE,0,Not Available,32114.0,Manufacturing/Industrial Plant,0.0,1341.2,1994.0
5204 YARMOUTH AVE,67.5,74,29936.0,Multifamily Housing,37.7,1942.7,1971.0
825 COLORADO BLVD,103.1,89,54287.0,Office,31.5,1964.6,1974.0
22044 CLARENDON ST,25.4,100,78653.0,Multifamily Housing,4.9,4224.2,1986.0
4091 REDWOOD AVE,212.8,Not Available,95777.0,Manufacturing/Industrial Plant,37.5,2215.7,2016.0
416 E 11TH ST,5.6,100,27889.0,Mixed Use Property,3.3,934.9,1991.0
9344 NATIONAL BLVD,51.2,39,24000.0,Multifamily Housing,34.4,601.4,1971.0
9730 RESEDA BLVD,143.7,51,31674.0,Multifamily Housing,82.2,2182.8,1971.0
15329 VOSE ST,55.7,90,24952.0,Multifamily Housing,37.7,1172.9,2000.0
722 E WASHINGTON BLVD,119.6,80,45666.0,Multifamily Housing,44.0,9925.8,2016.0
13138 MOORPARK ST,5.7,100,29074.0,Multifamily Housing,3.0,920.1,1974.0
735 HARTFORD AVE,86.3,14,30843.0,Multifamily Housing,45.5,1713.8,2002.0
649 S BOYLE AVE,11.4,Not Available,72243.0,Self-Storage Facility,2.5,617.0,1997.0
9710 ZELZAH AVE,202.6,91,88500.0,Multifamily Housing,38.5,3783.6,1987.0
920 VENICE BLVD,49.1,84,30261.0,Multifamily Housing,27.5,859.5,1978.0
14250 SHERMAN WAY,64.3,72,26552.0,Multifamily Housing,42.6,1658.4,1980.0
11582 SHELDON ST,4.7,98,30408.0,Non-Refrigerated Warehouse,2.2,83.0,1985.0
17841 LASSEN ST,121.3,60,32076.0,Multifamily Housing,65.2,3280.2,1975.0
12101 W BLUFF CREEK DR,104,87,37463.0,Office,41.9,1821.9,1950.0
21622 W SHERMAN WAY,42.6,Not Available,15197.0,Other - Services,47.4,56.3,1990.0
19431 BUSINESS CENTER DR,130.2,Not Available,41622.0,Manufacturing/Industrial Plant,57.5,283.5,1978.0
6335 WHITSETT AVE,85.7,53,27171.0,Multifamily Housing,53.6,1523.0,1959.0
21051 LASSEN ST,134,58,50990.0,Multifamily Housing,43.0,4041.7,1976.0
550 W 5TH ST,761.5,Not Available,140409.0,Office,81.8,2313.0,1986.0
11450 SHELDON ST,35.9,Not Available,44712.0,Other,13.0,263.9,1970.0
915 N LA BREA AVE,595.2,99,207726.0,Multifamily Housing,47.3,4615.5,2016.0
2037 LINCOLN PARK AVE,121.8,86,55100.0,Multifamily Housing,36.5,3094.7,2002.0
333 S KINGSLEY DR,146.3,100,81043.0,Multifamily Housing,29.4,6701.8,1985.0
525 S VIRGIL AVE,174,66,56072.0,Office,48.3,1267.9,1965.0
4201 W SUNSET BLVD,109.2,100,53868.0,Senior Living Community,31.7,2223.2,2007.0
11901 GOSHEN AVE,41.7,98,30999.0,Multifamily Housing,23.7,816.1,1971.0
4201 S CENTRAL AVE,154.7,42,42411.0,Multifamily Housing,62.2,5176.5,1998.0
6101 W IMPERIAL HWY,292.7,Not Available,265454.0,Other,17.4,4644.1,1947.0
7928 W HOLLYWOOD BLVD,249.9,54,98000.0,Multifamily Housing,42.6,3652.0,2014.0
12416 WEDDINGTON ST,53.9,88,23592.0,Multifamily Housing,41.6,1086.9,1958.0
11641 N CORBIN AVE,27.4,Not Available,11625.0,Fire Station,42.5,886.9,1990.0
7253 VARIEL AVE,53.7,67,23860.0,Multifamily Housing,40.2,1743.0,1960.0
22029 SATICOY ST,567.7,40,44310.0,Senior Living Community,228.0,4165.9,1985.0
3201 SAWTELLE BLVD,161.0,99.0,88040.0,Multifamily Housing,31.4,2042.9,2004.0
1168 S BARRINGTON AVE,245.5,6,78000.0,Multifamily Housing,52.1,2788.0,2013.0
3735 BAGLEY AVE,47.6,96,31665.0,Multifamily Housing,24.4,863.3,1990.0
810 S SPRING ST,308.5,6,86866.0,Multifamily Housing,56.6,6047.3,1985.0
21501 W SCHOENBORN ST,280.3,Not Available,53800.0,Police Station,88.8,1311.6,1990.0
3709 WATSEKA AVE,73,75,34872.0,Multifamily Housing,35.8,1315.8,1983.0
12641 SATICOY ST SOUTH,16.4,83,27750.0,Retail Store,9.8,6.7,1975.0
349 S LA FAYETTE PARK PL,227.8,81,109017.0,Multifamily Housing,36.1,4049.2,1971.0
3636 BEVERLY BLVD,81.8,Not Available,91487.0,Self-Storage Facility,13.5,50.0,1995.0
13031 W VAN NUYS BLVD,37.7,Not Available,14546.0,Fire Station,43.1,1055.0,1960.0
10520 NATIONAL BLVD,44.4,85,22237.0,Multifamily Housing,33.7,699.4,1987.0
1827 VETERAN AVE,55,89,29170.0,Multifamily Housing,32.8,941.8,1966.0
437 HARTFORD AVE,121.3,91,49820.0,Multifamily Housing,41.2,9.7,1928.0
638 S LANDFAIR AVE,15.8,Not Available,33658.0,Multifamily Housing,7.8,138.4,2014.0
21350 PARTHENIA ST,89.4,37,20852.0,Multifamily Housing,74.9,2877.5,1988.0
13131 MOORPARK ST,117.4,90,62076.0,Multifamily Housing,33.2,2060.9,1978.0
136 S AVENUE 20,104.6,3,22499.0,Non-Refrigerated Warehouse,67.8,127.2,1960.0
10984 STRATHMORE DR,5.9,Not Available,23476.0,Multifamily Housing,4.1,1007.9,2011.0
1400 MIDVALE AVE,164.9,91,66460.0,Multifamily Housing,41.6,2165.6,1989.0
259 S LOS ANGELES ST,0.8,Not Available,48000.0,Non-Refrigerated Warehouse,0.3,31.4,1909.0
8700 PERSHING DR,203.1,89.0,93243.0,Multifamily Housing,36.3,3479.3,2004.0
1605 W OLYMPIC BLVD,979.7,Not Available,188022.0,Office,39.3,4714.2,1975.0
7915 VINELAND AVE,67.7,60,21568.0,Multifamily Housing,54.2,2443.1,1985.0
425 S CATALINA ST,76.3,73,33810.0,Multifamily Housing,38.3,2729.6,1963.0
17710 LASSEN ST,92.8,43,26798.0,Multifamily Housing,61.0,1441.5,1986.0
21250 CALIFA ST,88.5,94,54099.0,Office,28.3,1107.1,1978.0
515 S OLIVE ST,4171,69,995327.0,Hotel,69.8,31921.6,1923.0
10984 STRATHMORE DR,5.2,Not Available,23476.0,Multifamily Housing,3.7,691.5,2011.0
801 S FIGUEROA ST,1405.7,93,492320.0,Office,43.1,6127.5,1992.0
303 S PACIFIC AVE,73.7,94,64873.0,Multifamily Housing,19.2,2705.7,2000.0
3344 S CANFIELD AVE,44.6,77,21060.0,Multifamily Housing,36.6,870.0,1986.0
101 MISSION RD,22,56,23184.0,Non-Refrigerated Warehouse,13.4,76.3,2001.0
10700 W WILSHIRE BLVD,212.7,49,86308.0,Multifamily Housing,39.7,2503.7,2010.0
8985 VENICE BLVD,650,Not Available,157338.0,Other - Mall,60.3,3194.9,2010.0
3399 BENNETT DR,78.5,67,24402.0,Multifamily Housing,57.4,1271.7,1964.0
7552 N HAYVENHURST AVE,130.1,Not Available,1500.0,Other - Technology/Science,1355.7,1352.5,2012.0
21021 VANOWEN ST,243.4,40,69410.0,Multifamily Housing,59.3,4061.9,1988.0
15434 RAYEN ST,40.6,100,30395.0,Multifamily Housing,22.2,3764.9,1987.0
3616 CARDIFF AVE,48.2,71,24187.0,Multifamily Housing,34.3,736.1,1985.0
17809 SUPERIOR ST,39.6,96,27420.0,Multifamily Housing,21.8,156.6,2003.0
11134 ARMINTA ST,60.4,68,24083.0,Multifamily Housing,41.9,1557.4,1989.0
3110 S BARRINGTON AVE,115.9,96,69230.0,Multifamily Housing,29.3,3502.4,1971.0
14400 ADDISON ST,30.7,100,72490.0,Multifamily Housing,6.0,1990.6,1963.0
430 S CLOVERDALE AVE,46.4,86,20246.0,Multifamily Housing,41.1,557.3,1928.0
334 S GRAMERCY PL,89.8,62,40028.0,Multifamily Housing,37.8,2202.3,1963.0
5300 LANKERSHIM BLVD,585.9,Not Available,60930.0,Strip Mall,158.8,4879.5,1980.0
6200 N DE SOTO AVE,945.9,73.0,401567.0,Multifamily Housing,39.6,13788.1,2003.0
19019 VENTURA BLVD,72.4,66,27500.0,Office,39.7,106.2,1991.0
4108 MARATHON ST,55.5,82,24520.0,Multifamily Housing,40.1,1037.5,1928.0
7215 COLDWATER CANYON AVE,13.6,Not Available,42810.0,Self-Storage Facility,5.1,114.2,1986.0
10320 GLENOAKS BLVD,114,Not Available,21800.0,Manufacturing/Industrial Plant,90.4,112.2,1968.0
1419 N KINGSLEY DR,60.3,85.0,20240.0,Multifamily Housing,49.2,1487.9,1988.0
4312 WOODMAN AVE,137.4,44,40000.0,Office,56.7,596.2,1990.0
15305 LANARK ST,139.2,77,68345.0,Multifamily Housing,35.4,3444.8,2013.0
8541 FOOTHILL BLVD,48.4,Not Available,38579.0,Multifamily Housing,27.2,2511.2,1988.0
3430 S SEPULVEDA BLVD,129.2,91,58146.0,Multifamily Housing,39.1,2536.6,1964.0
6150 N DE SOTO AVE,433.8,86.0,190135.0,Multifamily Housing,38.6,8629.5,2003.0
12225 SAN VICENTE BLVD,82.2,91,64578.0,Multifamily Housing,56.7,2182.1,1961.0
1480 VINE ST,452.2,1,130783.0,Multifamily Housing,53.4,4396.3,1961.0
111 MARQUEZ PL,168.7,61,66808.0,Multifamily Housing,44.9,2799.2,1956.0
1630 N KENMORE AVE,61.7,100,45936.0,Senior Living Community,23.0,898.0,1966.0
6720 11TH AVE,53.5,41,22032.0,Multifamily Housing,41.5,1670.4,1993.0
1409 VENICE BLVD,52.4,79,27700.0,Multifamily Housing,32.4,658.3,1990.0
19916 ROSCOE BLVD,69.9,88,28291.0,Multifamily Housing,44.5,1990.6,1963.0
1740 N HARVARD BLVD,47.1,88,28806.0,Multifamily Housing,26.8,783.2,1964.0
3709 WATSEKA AVE,78.2,68,34872.0,Multifamily Housing,38.3,1357.7,1983.0
814 S GRAND VIEW ST,42.6,Not Available,42600.0,Multifamily Housing,14.6,4624.5,1991.0
6301 OWENSMOUTH AVE,663.5,95,322943.0,Office,30.0,2122.3,1999.0
13864 DEL SUR ST,8.8,95,21359.0,Distribution Center,7.1,170.6,1987.0
1221 W 3RD ST,817,65,283810.0,Multifamily Housing,47.5,18782.1,2006.0
4901 N SAN FERNANDO RD WEST,280.2,25.0,160563.0,Non-Refrigerated Warehouse,23.0,454.7,1982.0
5 ROSE AVE,70,81,25664.0,Hotel,48.6,1595.6,1905.0
5688 ETIWANDA AVE,64.1,64,22747.0,Multifamily Housing,50.0,1565.7,1990.0
706 MCDONALD AVE,59.6,94,24897.0,Multifamily Housing,41.9,2058.6,1987.0
856 HILGARD AVE,23.8,47,20032.0,Worship Facility,19.9,485.5,1936.0
12404 WEDDINGTON ST,50,90,23572.0,Multifamily Housing,38.4,1055.5,1958.0
12400 BRANFORD ST,245.0,61.0,281288.0,Distribution Center,12.4,186.0,2012.0
18402 HALSTED ST,91.7,96,55062.0,Multifamily Housing,27.3,2380.3,1969.0
848 GRAMERCY DR,28.8,100,26460.0,Multifamily Housing,20.1,1291.8,1964.0
20200 SUNBURST ST,35.2,Not Available,24000.0,Manufacturing/Industrial Plant,24.2,291.7,1964.0
1234 PALMETTO ST,5.7,98,58550.0,Distribution Center,1.5,55.7,1926.0
5451 MARATHON ST,294.8,20,52929.0,Office,81.3,380.8,1987.0
6900 BECK AVE,11.2,91,27000.0,Non-Refrigerated Warehouse,6.2,8.2,1967.0
10926 HUSTON ST,49.1,96,20052.0,Multifamily Housing,43.5,726.4,1986.0
20358 SATICOY ST,89.1,79,36662.0,Multifamily Housing,43.0,2043.7,1977.0
936 HILGARD AVE,1084.6,84,255980.0,Hotel,72.1,6065.2,1990.0
8377 NORTHGATE AVE,67.9,55,21778.0,Multifamily Housing,56.0,1315.8,1964.0
1421 W TEMPLE ST,124.2,69,43600.0,Multifamily Housing,46.9,4459.1,2006.0
4341 EAGLE ROCK BLVD,62.1,Not Available,22450.0,Multifamily Housing,49.0,1851.4,1979.0
5401 W 104TH ST,68.3,55,25920.0,Distribution Center,43.7,431.6,1951.0
101 BRIDEWELL ST,182.8,85,82960.0,Multifamily Housing,37.3,3719.3,1988.0
2370 COLORADO BLVD,2.9,Not Available,27557.0,Self-Storage Facility,1.6,4.0,2000.0
11707 W SUNSET BLVD,47.2,81,25464.0,Multifamily Housing,31.7,699.4,1953.0
3625 S GRAND AVE,19.9,Not Available,66843.0,Self-Storage Facility,4.5,21.0,2010.0
8654 PARTHENIA PL,62.1,51,22239.0,Multifamily Housing,50.0,1276.2,1971.0
14731 RAYEN ST,65.9,57,25581.0,Multifamily Housing,39.8,588.7,1991.0
5110 HAROLD WAY,70.7,24,21122.0,Multifamily Housing,58.7,1935.2,1952.0
351 S MANHATTAN PL,66,47,21004.0,Multifamily Housing,56.8,1499.1,1960.0
638 S LANDFAIR AVE,16.8,Not Available,33658.0,Multifamily Housing,8.3,245.9,2014.0
2060 E 7TH ST,517.1,98,257028.0,Office,31.6,1119.0,2017.0
5344 CIRCLE DR,45.7,96,29346.0,Multifamily Housing,25.1,873.0,1983.0
276 W CENTURY WAY,137,Not Available,92090.0,Energy/Power Station,23.3,1414.2,2011.0
11551 SANTA MONICA BLVD,192,Not Available,47171.0,Mixed Use Property,68.5,1186.4,2005.0
5715 VINELAND AVE,70.3,54,26736.0,Multifamily Housing,46.7,1354.7,2010.0
3344 S CANFIELD AVE,41.7,82,21060.0,Multifamily Housing,34.2,819.9,1986.0
100 WORLD WAY,3473.3,Not Available,569300.0,Transportation Terminal/Station,90.3,26852.5,1982.0
19241 NORDHOFF ST,64.2,78,29528.0,Multifamily Housing,35.1,1861.2,1972.0
8386 BLACKBURN AVE,49.7,71,20530.0,Multifamily Housing,41.8,592.5,1963.0
2608 S SAN PEDRO ST,63.4,Not Available,23400.0,Mixed Use Property,46.9,991.2,1914.0
727 W 38TH ST,10.8,100,21470.0,Multifamily Housing,8.3,789.9,1969.0
19441 BUSINESS CENTER DR,15579.5,Not Available,42563.0,Manufacturing/Industrial Plant,5521.8,283.5,1979.0
3729 CLARINGTON AVE,37.4,91,18000.0,Multifamily Housing,36.4,835.6,1958.0
13036 SHERMAN WAY,174.6,81,57717.0,Multifamily Housing,43.5,6383.9,2008.0
5330 SATSUMA AVE,88.4,55,22880.0,Multifamily Housing,67.1,967.2,2006.0
8828 MEMORY PARK AVE,85.4,26,22316.0,Multifamily Housing,66.7,3393.2,1970.0
325 W ADAMS BLVD,8482.1,1,1000000.0,Multifamily Housing,128.1,34990.7,2014.0
6851 LENNOX AVE,85.1,71,25704.0,Office,52.6,503.6,1968.0
20700 PLUMMER ST,17.4,61,28000.0,Non-Refrigerated Warehouse,10.5,113.6,1971.0
2040 AVENUE OF THE STARS,3152.7,66,816615.0,Office,57.0,9130.0,1965.0
6901 W IMPERIAL HWY,212.4,80,79896.0,Office,41.3,1980.8,1947.0
810 KOHLER ST,192.2,Not Available,60900.0,Other,53.5,296.2,1903.0
